id,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action_type,device_type
0,0,1,0,0,3,1,1,0,3,3,0,0,0
0,0,1,0,0,3,1,1,0,3,3,0,1,0
0,0,1,0,0,3,1,1,0,3,3,0,2,1
0,0,1,0,0,3,1,1,0,3,3,0,2,1
0,0,1,0,0,3,1,1,0,3,3,0,3,0
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,2,2
1,3,0,0,0,1,1,0,0,0,1,1,2,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,4,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,4,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
1,3,0,0,0,1,1,0,0,0,1,1,2,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,0,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
1,3,0,0,0,1,1,0,0,0,1,1,3,2
2,0,1,0,0,0,0,0,0,3,3,0,2,1
2,0,1,0,0,0,0,0,0,3,3,0,0,0
2,0,1,0,0,0,0,0,0,3,3,0,0,0
2,0,1,0,0,0,0,0,0,3,3,0,2,0
2,0,1,0,0,0,0,0,0,3,3,0,1,0
2,0,1,0,0,0,0,0,0,3,3,0,4,0
2,0,1,0,0,0,0,0,0,3,3,0,3,0
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,5,2
3,1,0,0,0,1,1,1,0,0,1,0,0,2
3,1,0,0,0,1,1,1,0,0,1,0,1,2
3,1,0,0,0,1,1,1,0,0,1,0,2,2
3,1,0,0,0,1,1,1,0,0,1,0,3,0
3,1,0,0,0,1,1,1,0,0,1,0,2,0
3,1,0,0,0,1,1,1,0,0,1,0,0,0
3,1,0,0,0,1,1,1,0,0,1,0,1,0
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,4,2
3,1,0,0,0,1,1,1,0,0,1,0,4,2
4,0,0,0,0,1,1,2,0,1,0,0,0,3
4,0,0,0,0,1,1,2,0,1,0,0,1,3
4,0,0,0,0,1,1,2,0,1,0,0,0,3
4,0,0,0,0,1,1,2,0,1,0,0,3,3
4,0,0,0,0,1,1,2,0,1,0,0,1,3
4,0,0,0,0,1,1,2,0,1,0,0,0,3
4,0,0,0,0,1,1,2,0,1,0,0,3,3
4,0,0,0,0,1,1,2,0,1,0,0,3,3
4,0,0,0,0,1,1,2,0,1,0,0,3,3
4,0,0,0,0,1,1,2,0,1,0,0,2,3
