id,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action_type,device_type
107,0,1,0,2,4,6,0,3,5,0,5,3,3
108,3,0,24,2,0,0,2,2,1,6,5,2,1
107,1,0,12,4,7,6,1,1,7,5,3,0,5
107,3,1,25,14,5,1,2,0,2,3,7,0,1
23,1,1,12,5,0,2,2,3,3,5,5,7,2
107,3,0,12,5,5,8,1,1,5,1,3,1,6
107,1,1,24,9,3,2,0,2,6,1,9,7,3
108,3,1,25,1,3,2,3,1,4,4,0,3,1
108,3,0,12,0,1,8,2,2,6,5,2,3,5
23,1,0,25,14,5,2,2,0,3,2,5,0,6
82,3,1,24,9,6,8,0,0,0,3,4,6,8
23,1,0,12,2,5,4,1,2,2,0,7,7,1
135,3,0,0,0,2,6,1,3,3,6,5,2,7
108,0,1,12,2,2,2,2,2,7,1,6,4,4
82,0,0,24,1,2,5,1,0,2,4,5,3,1
23,3,1,25,14,5,5,3,3,5,1,2,5,4
135,3,0,25,14,4,0,3,0,4,3,5,6,6
107,1,0,12,9,6,1,1,0,4,1,3,4,8
23,0,0,12,1,3,5,0,3,2,5,0,2,4
82,3,1,0,9,7,1,3,2,5,3,1,6,6
82,0,1,25,0,2,8,0,2,3,5,4,2,8
135,3,0,12,1,0,8,3,2,6,6,3,6,0
108,1,0,24,1,6,8,0,1,4,10,5,7,7
23,3,0,0,0,1,1,2,1,3,10,1,0,8
107,3,0,0,9,6,5,2,3,3,4,9,1,0
107,0,0,25,2,6,0,0,3,3,2,6,2,1
107,1,0,25,14,6,6,0,1,0,2,0,5,8
23,3,1,25,9,7,1,0,1,3,2,5,3,1
107,0,1,25,5,1,6,2,1,2,0,2,3,3
82,1,1,24,9,2,2,2,2,4,2,4,6,7
82,3,0,25,14,3,5,1,2,5,5,6,4,5
135,1,1,12,2,3,5,0,3,5,10,9,0,3
23,3,0,24,0,0,5,0,0,3,0,1,3,3
82,1,0,24,9,6,1,3,1,2,5,6,4,5
23,1,0,25,2,7,1,2,0,1,3,9,6,7
82,3,1,25,5,3,5,0,2,3,5,5,7,4
135,3,1,12,14,5,5,2,3,3,0,2,6,3
82,1,1,24,4,1,4,1,2,5,1,6,6,8
135,3,1,12,1,4,1,2,3,5,2,2,4,5
107,0,1,25,0,1,0,1,2,2,10,7,3,8
135,1,0,25,1,3,5,3,1,3,2,6,6,5
107,3,1,0,14,4,6,3,0,6,1,1,2,4
135,0,1,0,9,0,5,0,0,3,10,0,2,1
135,1,0,0,2,5,4,1,2,5,0,3,5,4
107,3,1,25,4,2,4,2,0,1,5,9,0,5
82,1,0,24,5,5,0,0,1,0,6,1,2,5
23,1,0,25,5,1,0,2,0,4,4,9,7,1
135,1,0,25,9,6,8,1,0,5,5,5,0,4
135,1,1,25,1,4,8,2,3,3,10,1,3,8
23,3,1,25,1,1,0,2,3,4,4,7,6,2
82,0,1,24,1,3,5,2,3,1,2,3,7,0
135,1,0,12,0,2,1,1,3,3,3,0,1,3
135,1,0,25,14,0,5,1,3,7,0,7,1,0
82,0,0,12,5,7,5,2,3,1,2,7,6,6
135,0,1,25,4,6,4,3,1,0,10,7,5,6
107,0,0,24,2,0,8,2,1,5,2,3,3,7
107,3,0,12,5,7,0,3,1,4,6,4,6,4
107,0,1,25,5,7,2,0,3,6,6,2,5,4
107,1,0,0,0,1,5,3,3,4,6,4,4,2
23,3,1,12,4,0,5,3,1,4,1,2,3,4
135,3,0,0,1,5,5,0,1,2,1,6,6,0
107,1,1,25,1,1,0,2,1,1,3,4,5,1
23,3,1,24,4,6,8,0,2,6,6,0,3,0
23,1,0,24,9,4,6,1,2,7,10,7,3,3
23,0,0,0,5,1,8,0,0,6,6,9,7,3
82,0,1,24,4,3,5,0,0,7,0,7,3,3
23,3,1,25,4,3,0,3,0,3,0,7,1,2
107,1,0,24,5,3,6,1,0,7,1,0,1,1
107,3,0,12,14,3,5,0,0,6,4,6,7,6
82,3,0,12,1,6,1,1,2,0,6,2,4,1
82,1,1,25,2,4,5,3,3,2,10,2,3,8
23,3,0,0,4,0,1,3,2,5,4,2,7,7
108,0,0,12,4,3,6,1,2,7,4,2,4,6
135,3,1,25,9,0,8,0,2,3,5,6,3,0
23,3,0,24,5,2,1,1,3,3,6,2,7,6
82,3,1,0,4,1,4,2,3,0,1,1,4,3
23,1,1,24,4,1,1,3,2,6,2,7,4,1
23,1,0,12,14,3,0,3,1,2,6,2,1,3
23,3,1,12,9,5,8,2,0,1,3,0,2,4
135,3,1,0,9,7,5,3,2,6,1,2,3,8
135,0,0,24,9,3,0,0,0,6,5,2,7,1
82,1,0,25,4,6,8,3,0,0,10,1,1,2
108,1,0,25,4,5,0,2,0,5,1,6,7,3
23,3,1,0,14,3,4,3,1,3,1,2,4,6
135,1,0,25,2,3,4,0,0,4,3,3,0,5
