id,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action_type,device_type
74,3,0,0,0,0,0,0,0,3,6,0,3,1
99,1,1,12,0,0,0,0,0,1,0,0,4,3
19,0,1,0,4,0,0,0,0,1,0,4,4,3
75,3,0,0,0,4,0,2,0,0,1,0,3,2
131,0,1,0,0,0,0,2,0,1,4,6,4,2
74,3,1,12,0,0,1,0,0,0,5,0,3,2
19,1,0,0,0,1,0,2,0,1,5,0,2,3
19,1,0,0,0,0,1,0,0,1,0,0,0,2
100,0,1,12,0,3,0,2,0,0,0,0,0,3
73,1,1,12,0,0,0,0,0,3,4,0,4,3
19,1,0,0,0,0,5,2,2,0,3,1,1,3
74,0,1,24,4,0,0,0,0,0,2,0,0,2
19,3,1,0,0,0,0,0,0,1,6,0,4,3
101,3,0,0,0,0,6,1,0,3,6,1,4,2
131,3,1,0,0,0,0,3,2,0,3,0,0,2
73,1,0,12,0,0,0,1,0,0,2,0,1,6
19,0,0,0,0,0,0,1,2,1,3,6,0,2
131,1,0,0,1,0,2,0,0,0,0,4,1,3
74,0,0,24,1,0,2,1,0,1,1,0,3,0
74,0,0,0,0,1,0,2,0,1,1,0,0,6
131,1,0,0,0,4,0,3,3,0,2,0,4,4
74,0,0,0,0,0,1,2,0,0,1,5,3,3
130,1,1,12,0,3,1,2,0,1,0,6,0,3
74,1,0,0,0,0,6,2,0,1,0,0,4,6
101,0,1,0,2,0,0,2,0,3,2,5,0,2
101,1,0,0,0,0,0,2,3,0,5,1,2,3
74,0,0,12,1,5,0,2,3,0,2,0,0,2
19,0,0,0,0,1,2,1,0,4,5,0,1,0
73,0,1,24,0,0,2,1,0,0,2,5,1,3
131,0,1,12,0,7,0,1,0,0,3,0,4,2
74,0,1,0,14,1,1,0,0,1,4,4,0,8
19,1,0,25,4,2,8,2,2,0,1,0,4,3
19,1,0,25,0,4,0,0,0,0,2,0,5,6
131,3,0,0,0,4,1,1,0,0,2,0,3,3
19,1,0,0,0,0,0,0,0,0,0,0,3,3
100,0,0,24,0,0,1,1,0,1,5,0,1,2
131,3,0,12,0,2,0,3,0,0,0,0,0,2
131,1,0,0,0,0,0,0,2,0,3,0,3,2
19,0,0,12,1,0,5,0,0,5,1,6,0,3
19,1,1,0,0,1,0,1,0,1,2,0,5,2
19,1,1,0,0,2,1,0,0,0,2,0,4,3
74,0,0,12,0,5,0,2,0,1,0,0,5,3
19,0,0,0,0,5,0,1,2,0,0,0,2,2
19,3,0,0,0,1,0,0,0,4,1,0,4,2
73,0,0,24,0,0,1,0,0,1,6,0,4,3
74,3,0,12,0,0,0,0,0,0,0,0,2,3
19,1,0,0,0,0,2,1,0,1,5,4,4,0
19,1,0,0,0,7,1,1,0,1,0,1,0,5
101,1,0,0,0,0,0,2,0,3,3,1,1,3
131,0,0,0,0,1,0,0,0,3,0,6,3,4
131,0,1,12,5,0,0,1,2,1,4,0,4,4
74,0,1,24,0,3,0,0,2,4,0,1,0,2
74,1,1,0,0,0,6,2,0,0,1,0,4,3
101,1,0,0,0,4,0,2,0,5,0,1,5,3
100,1,0,0,0,0,0,2,0,0,6,1,3,6
131,0,1,0,0,0,0,1,0,5,1,5,4,3
131,0,0,25,1,0,0,1,1,1,0,0,0,4
19,0,1,0,0,1,1,3,1,4,3,0,1,4
19,1,0,12,0,2,0,0,0,3,1,0,3,0
131,0,0,0,0,4,0,2,1,0,10,0,0,3
74,1,0,0,0,4,0,1,0,4,0,0,4,3
131,1,0,0,0,0,1,2,0,0,1,0,5,1
99,0,0,0,0,0,2,1,0,4,2,0,4,2
19,1,1,0,0,2,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,2,3,0,1,1,1,2
131,0,0,12,4,0,0,2,0,0,0,0,4,7
131,0,0,0,0,1,0,2,1,3,5,0,0,6
131,1,0,0,0,1,0,2,0,3,0,6,4,2
18,1,0,0,0,1,8,1,0,0,0,1,2,2
100,1,0,12,0,2,0,0,1,5,4,0,1,1
73,1,0,0,0,0,1,0,0,0,0,0,3,0
19,1,1,0,0,1,1,1,0,1,2,0,2,2
101,3,0,12,0,1,1,3,0,0,1,0,0,1
131,3,0,12,0,0,0,1,0,3,1,0,0,2
101,0,1,0,0,0,1,2,0,3,3,0,4,3
131,1,0,24,0,1,0,0,0,3,0,0,0,7
19,1,1,24,0,1,0,0,0,3,1,0,0,3
101,1,0,0,0,4,1,0,0,0,1,0,0,2
75,1,0,0,0,4,0,2,3,2,2,0,4,2
101,0,1,0,0,0,0,0,3,3,3,0,4,2
74,0,1,0,0,0,1,2,0,6,3,1,0,3
100,0,1,12,0,2,4,2,0,1,0,0,3,1
19,1,0,0,0,0,1,0,0,0,5,0,4,2
101,3,0,25,4,0,0,0,0,1,4,1,0,2
100,1,1,0,0,7,1,2,2,0,4,0,4,2
19,3,1,0,1,0,2,0,0,0,4,6,4,4
100,3,1,0,0,6,6,1,3,1,1,0,6,6
19,3,1,0,0,0,0,0,0,3,1,0,4,2
18,1,1,0,14,0,0,1,0,1,2,0,4,1
19,0,0,12,0,2,0,1,0,1,1,0,6,6
100,1,0,0,0,0,0,1,0,4,4,0,1,3
75,3,0,0,0,4,1,0,0,0,0,0,0,2
19,1,0,0,0,1,0,0,0,1,4,0,5,0
100,1,0,12,2,0,1,1,0,1,2,0,2,6
131,1,0,0,0,1,0,0,0,0,2,0,0,2
74,1,0,0,0,0,0,1,0,1,0,0,0,6
19,0,0,25,0,4,0,1,0,3,0,0,4,3
101,1,0,0,0,3,0,2,0,0,1,0,3,3
18,0,0,0,0,0,0,0,0,0,5,1,4,3
74,3,0,12,0,1,0,1,0,1,0,6,3,6
74,0,1,0,0,7,0,0,0,0,0,0,4,2
74,0,0,24,0,1,0,0,0,0,3,0,0,5
75,1,0,12,0,0,0,1,0,0,4,0,4,6
19,0,1,0,0,0,0,0,0,1,0,0,4,3
100,3,0,0,0,1,0,0,1,2,0,0,0,1
74,0,0,0,0,0,1,0,0,0,0,0,4,6
19,1,0,12,0,0,2,0,0,0,5,0,4,6
19,1,0,12,0,0,0,0,0,1,5,0,2,6
19,3,0,0,0,2,8,1,0,1,0,0,3,3
18,0,1,0,0,0,0,2,1,1,0,0,6,1
19,0,0,25,0,0,0,2,0,3,1,0,3,2
101,3,0,0,0,0,0,1,1,1,0,0,4,3
101,1,1,0,0,1,1,0,1,4,1,0,1,2
74,1,0,0,0,0,0,0,0,1,6,1,2,4
