id,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action_type,device_type
11,3,1,12,0,0,2,0,2,2,3,3,4,0
116,3,0,24,0,0,0,0,1,0,1,0,4,6
129,3,0,25,0,0,0,0,0,2,1,0,4,6
19,3,0,25,0,0,0,0,1,0,1,0,4,6
107,1,0,0,0,0,0,1,0,3,0,0,3,3
56,1,1,12,0,4,2,0,1,4,6,0,4,4
73,1,1,0,0,4,2,0,1,2,3,0,4,1
85,3,1,0,0,0,0,2,1,7,3,6,4,0
119,1,1,25,0,0,0,0,0,0,6,0,4,2
80,1,0,0,9,0,1,2,0,3,2,0,0,1
91,1,1,0,0,1,1,2,0,1,0,0,0,3
77,0,1,0,0,3,1,0,0,0,3,1,4,3
86,0,0,0,1,0,0,1,0,0,2,0,4,2
106,0,0,0,0,3,1,2,0,1,4,0,6,3
66,3,0,12,0,0,0,0,2,2,3,0,4,6
0,1,0,0,0,0,0,1,0,0,1,2,0,2
113,0,0,0,0,0,0,1,0,0,0,0,0,7
23,1,0,0,9,0,1,2,0,3,2,2,1,3
86,1,0,0,0,2,0,3,0,1,0,0,0,3
93,0,1,0,1,0,1,2,0,3,0,2,0,3
45,1,0,0,0,0,0,1,0,0,0,0,3,2
73,3,0,0,2,1,0,0,0,7,1,0,1,3
5,3,1,24,1,0,6,0,1,5,0,0,4,2
6,1,0,0,0,0,0,0,0,0,2,0,2,2
86,3,0,0,0,0,0,1,0,0,1,4,0,2
17,3,0,12,0,0,2,0,1,0,6,0,4,6
69,1,0,0,0,3,0,2,0,1,0,1,3,1
64,1,0,0,9,0,5,0,0,0,1,0,4,2
132,1,0,0,0,0,0,2,0,1,2,0,1,2
119,0,0,25,0,5,8,1,0,0,3,0,4,0
88,0,1,0,0,2,0,2,0,1,1,0,3,3
57,0,0,0,0,2,0,0,0,1,3,0,4,3
59,0,1,0,0,0,1,2,0,1,2,0,1,2
115,1,1,0,0,0,0,0,1,2,3,0,4,0
54,0,0,0,0,0,0,0,0,0,1,2,4,2
70,1,0,0,0,1,1,2,0,1,4,0,1,3
50,3,0,0,0,0,0,3,0,0,1,0,4,8
0,3,1,12,0,4,2,0,3,4,5,0,4,4
110,3,0,0,0,0,0,0,0,0,1,0,0,2
81,1,0,0,0,0,0,1,0,0,1,0,0,2
101,0,0,24,0,4,2,0,1,3,6,0,4,2
85,1,1,0,0,0,0,1,0,1,1,0,2,3
23,1,1,0,0,0,0,1,0,0,0,0,2,2
0,3,0,24,0,0,0,0,0,0,1,0,4,7
42,0,0,0,0,0,0,0,0,1,0,0,2,6
141,0,0,0,0,2,0,2,0,0,1,0,0,2
31,1,1,0,0,0,2,0,1,2,3,1,4,4
129,0,0,24,0,0,2,0,2,2,6,0,4,6
78,3,1,0,4,0,0,1,0,2,3,0,1,2
111,3,0,0,0,6,0,0,0,1,0,0,3,3
149,1,1,0,0,2,0,2,0,0,3,0,0,2
50,0,1,0,0,0,1,0,0,3,0,5,5,3
45,1,0,0,0,1,1,3,0,0,2,0,0,2
59,0,1,0,0,6,1,3,0,0,0,0,4,1
123,3,0,25,0,4,0,0,1,5,6,1,4,6
147,1,0,0,0,0,0,1,0,0,1,0,0,2
113,0,0,0,0,0,1,3,0,1,1,0,4,3
125,1,1,12,0,4,2,0,3,4,5,0,4,4
114,1,0,0,0,1,1,2,0,1,4,0,1,3
76,1,0,25,0,0,0,1,1,0,1,0,4,6
51,1,1,0,0,1,1,2,0,0,4,0,1,3
109,0,0,0,0,3,1,2,0,1,4,1,1,3
13,0,0,12,0,4,6,0,2,4,6,0,4,6
0,0,0,12,0,4,2,0,2,6,2,0,4,6
72,0,0,0,0,0,5,1,0,0,0,3,2,3
15,0,1,12,0,4,2,0,3,3,5,1,4,4
114,3,0,0,0,0,0,0,1,0,1,0,4,1
127,1,0,0,4,1,5,1,0,1,0,0,3,3
93,1,0,0,0,0,1,2,0,1,0,1,3,1
111,0,0,24,0,1,0,0,2,0,1,3,2,3
64,1,1,0,0,1,1,3,0,3,0,1,0,3
108,0,1,0,4,2,0,1,0,1,3,6,6,3
116,1,1,12,0,4,2,0,3,4,5,1,4,4
93,3,0,0,0,1,0,0,0,7,3,0,0,2
18,1,0,24,0,5,6,0,0,2,4,5,4,6
73,1,1,0,4,1,1,1,0,1,0,2,1,1
76,0,1,0,0,1,1,2,0,1,4,4,0,3
33,0,1,0,1,1,1,1,0,0,0,0,1,3
52,1,0,0,0,0,1,2,0,0,1,0,0,2
90,1,1,12,0,4,2,0,3,4,5,0,4,4
10,0,1,0,0,0,0,1,0,0,0,0,0,2
71,1,1,12,0,4,2,0,3,2,5,0,4,4
149,1,0,0,0,0,8,1,0,0,1,0,3,7
36,1,0,0,0,0,0,0,0,3,1,3,4,1
54,0,1,0,0,0,1,0,0,3,0,0,4,3
136,0,0,0,0,0,8,1,0,0,1,0,4,3
95,1,1,0,0,0,5,0,0,0,3,0,3,0
55,3,0,0,4,0,0,3,0,0,4,4,1,2
101,3,1,0,0,0,0,0,0,0,1,0,0,0
46,1,1,0,0,0,0,3,0,0,1,0,0,2
39,0,1,0,0,0,4,0,0,0,1,0,4,2
109,0,1,0,0,1,0,3,0,1,3,9,1,7
65,3,1,0,0,1,1,2,0,1,4,0,0,3
92,1,1,0,0,0,1,2,0,3,4,1,0,3
97,0,0,0,9,0,0,0,0,0,2,2,5,2
80,0,0,25,0,0,0,0,0,0,0,0,4,0
61,3,0,0,0,0,0,0,2,0,1,9,4,7
109,1,0,0,0,0,1,3,0,0,2,5,4,1
74,0,1,0,0,3,0,1,0,0,2,4,3,2
51,0,1,0,0,1,1,2,0,1,4,2,3,3
26,0,0,0,0,6,0,0,0,0,0,0,3,2
55,1,1,0,0,1,1,2,0,1,0,0,1,3
94,1,1,0,1,1,1,2,0,1,4,1,1,3
44,3,0,0,0,0,0,0,0,0,1,0,1,2
28,1,0,0,9,0,0,1,0,0,2,0,1,2
15,1,1,0,0,0,0,0,2,1,4,3,4,6
13,3,1,12,0,4,2,0,3,4,5,0,4,4
11,0,1,12,0,4,2,0,3,4,5,0,4,4
48,1,1,25,0,0,0,0,2,4,3,3,6,6
133,1,0,0,0,0,0,1,0,0,1,0,0,2
92,3,1,12,0,4,2,0,3,4,5,0,4,4
51,3,0,0,4,0,0,0,0,0,1,0,0,8
34,0,0,0,0,2,1,2,0,1,4,0,1,3
54,1,1,12,0,4,2,0,3,4,5,1,4,4
108,1,1,24,0,0,0,0,2,5,6,3,4,6
65,1,0,0,0,0,0,0,0,0,0,0,2,2
0,0,0,24,0,0,0,0,2,5,3,0,4,7
140,0,0,12,0,0,0,0,2,5,6,0,4,6
11,0,0,12,0,0,0,0,1,5,6,3,4,6
0,1,0,24,0,0,0,0,1,0,3,3,4,2
35,3,0,0,0,0,0,0,1,0,1,0,4,8
33,1,1,0,0,0,0,3,0,0,0,0,4,2
73,3,0,12,0,4,2,0,0,4,3,0,4,4
70,3,1,25,0,0,2,0,2,0,3,3,4,6
130,1,1,0,0,0,0,0,0,0,4,0,0,2
0,0,1,0,0,1,1,2,0,1,0,1,1,3
80,3,1,12,0,4,2,0,3,4,5,0,4,4
67,1,1,0,2,3,1,1,0,1,0,0,0,1
91,3,0,12,0,4,2,0,1,0,6,0,4,4
149,0,1,24,0,0,2,0,1,2,6,0,4,2
30,0,0,0,0,0,6,0,2,5,6,0,0,6
1,1,1,12,0,4,2,0,3,4,5,0,4,4
149,1,1,0,0,0,6,0,0,0,3,0,4,6
16,0,1,0,4,3,1,2,0,3,4,5,1,3
71,0,0,0,0,0,0,0,0,0,1,0,0,2
23,3,0,12,0,4,2,0,3,4,6,0,4,4
120,1,0,12,0,4,0,0,2,2,3,0,4,6
104,1,0,0,0,3,1,2,0,1,0,7,0,3
69,0,1,0,0,1,6,2,0,1,0,2,0,3
54,3,0,0,0,0,1,2,0,0,1,0,0,2
51,0,1,0,0,1,5,0,0,0,0,2,3,2
122,0,1,0,0,2,1,2,0,1,1,0,3,3
42,0,1,0,0,1,1,2,0,1,0,1,0,3
117,0,1,0,0,2,1,2,0,1,0,0,1,3
123,1,0,0,1,0,0,0,0,0,3,0,4,1
49,0,0,0,0,3,0,2,0,0,2,0,0,3
18,3,1,0,2,0,0,1,0,3,0,0,4,2
91,1,0,0,0,7,0,1,0,0,0,0,6,2
86,1,0,0,0,5,0,1,0,0,1,1,0,2
55,0,1,0,0,2,1,2,0,1,0,1,0,3
76,0,1,0,0,6,1,2,0,1,0,0,3,3
