id,gender,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action_type,device_type
120,1,0,0,0,1,1,2,0,0,2,0,4,2
132,0,0,25,0,0,0,0,1,0,1,0,6,0
1,3,0,0,0,1,1,0,0,0,1,1,1,2
95,3,0,0,0,0,0,0,0,0,2,0,4,2
117,0,0,0,0,0,0,0,0,1,4,0,4,3
44,0,0,0,0,1,1,2,0,0,1,0,1,2
32,3,0,0,0,0,0,1,0,1,0,2,1,3
146,0,0,0,0,0,0,0,0,0,1,0,0,2
15,0,0,0,0,2,1,2,0,1,0,0,1,3
84,3,0,0,0,0,0,0,0,1,2,0,4,3
4,0,0,0,0,1,1,2,0,1,0,0,3,3
116,1,0,25,0,0,0,0,1,2,3,0,4,0
121,3,0,0,0,0,0,1,0,0,1,0,1,2
96,3,0,0,0,5,1,3,0,2,3,4,1,2
123,1,1,0,0,0,0,3,0,0,1,0,4,2
112,1,1,0,0,0,0,0,0,0,0,1,2,2
91,1,0,0,0,1,1,2,0,0,1,0,4,2
49,1,1,0,0,1,1,2,0,1,2,0,1,3
8,1,0,0,0,0,0,0,0,1,4,1,0,5
47,1,0,0,0,0,0,1,0,1,2,1,0,3
50,0,0,0,0,1,1,0,0,1,4,2,0,3
4,0,0,0,0,1,1,2,0,1,0,0,2,3
53,3,0,0,0,0,0,1,0,3,3,0,1,1
121,1,1,0,0,0,0,1,0,0,1,2,4,2
85,1,1,0,0,0,0,3,0,0,0,0,4,2
88,3,0,0,0,0,0,0,0,0,2,1,3,1
147,1,0,0,0,3,1,0,0,1,0,0,1,3
88,3,0,0,0,0,0,0,0,0,2,1,0,1
102,1,0,0,0,0,0,0,0,0,1,0,1,2
40,1,1,0,0,0,0,0,0,1,4,1,4,3
125,1,1,0,0,0,0,0,0,0,0,0,1,2
79,0,1,12,0,4,2,0,2,0,1,0,4,6
135,1,0,0,0,0,0,0,0,0,0,0,4,2
110,0,1,0,5,0,0,0,0,1,0,0,0,3
86,1,0,0,0,0,0,1,0,0,2,0,0,2
17,0,1,0,0,0,0,2,0,3,3,0,3,1
100,1,1,12,0,4,2,0,1,0,1,0,4,6
65,0,0,0,0,1,1,2,0,0,2,2,4,2
82,1,0,0,0,0,0,1,0,3,3,0,3,1
97,0,1,0,0,0,0,0,0,3,3,0,3,1
114,1,0,0,0,1,1,2,0,0,1,1,1,2
52,0,0,0,0,1,1,2,0,0,0,8,4,2
33,1,0,0,0,1,1,2,0,0,1,2,4,6
4,0,0,0,0,1,1,2,0,1,0,0,0,3
91,1,0,0,0,1,1,2,0,0,1,0,4,2
7,1,1,12,0,4,2,0,3,4,5,1,4,4
111,1,1,0,0,0,0,0,0,0,0,1,3,2
105,3,0,0,0,0,0,0,0,0,1,0,4,2
50,0,0,0,0,1,1,0,0,1,4,2,4,3
74,1,0,0,9,0,0,1,0,0,1,0,4,2
102,1,0,0,0,0,0,0,0,0,1,0,2,2
96,3,0,0,0,5,1,3,0,2,3,4,0,2
91,3,0,0,0,1,1,2,0,0,1,4,0,2
84,3,0,0,0,0,0,0,0,1,2,0,7,3
118,3,0,0,0,0,0,1,0,0,1,0,4,2
1,3,0,0,0,1,1,0,0,0,1,1,1,2
123,1,1,0,0,0,0,3,0,0,1,0,0,2
50,0,0,0,0,1,1,0,0,1,4,2,0,3
135,1,0,0,0,0,0,0,0,0,0,0,4,2
101,1,0,0,0,0,0,0,0,0,1,0,2,2
15,0,0,0,0,2,1,2,0,1,0,0,1,3
103,1,0,12,0,4,2,0,3,4,5,1,4,4
137,0,0,0,0,0,0,1,0,1,0,1,1,3
71,0,0,0,0,2,4,1,0,1,0,1,5,3
72,3,0,0,0,0,0,1,0,0,1,0,3,2
38,0,0,0,0,1,1,2,0,0,1,0,0,2
