id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,action,action_type,action_detail,device_type,secs_elapsed,country_destination
74,3,37,0,0,0,0,0,0,0,3,6,5,3,2,1,28603,0
99,1,36,1,12,0,0,0,0,0,1,0,5,4,32,3,2281,0
19,0,37,1,0,4,0,0,0,0,1,0,33,4,33,3,36576,4
75,3,38,0,0,0,4,0,2,0,0,1,33,3,1,2,204499,0
131,0,37,1,0,0,0,0,2,0,1,4,5,4,6,2,3130,6
74,3,37,1,12,0,0,1,0,0,0,5,6,3,10,2,261,0
19,1,38,0,0,0,1,0,2,0,1,5,34,2,13,3,37647,0
19,1,36,0,0,0,0,1,0,0,1,0,5,0,10,2,100096,0
100,0,40,1,12,0,3,0,2,0,0,0,19,0,6,3,4446,0
73,1,38,1,12,0,0,0,0,0,3,4,18,4,10,3,40462,0
19,1,39,0,0,0,0,5,2,2,0,3,5,1,10,3,37036,1
74,0,38,1,24,4,0,0,0,0,0,2,5,0,6,2,96081,0
19,3,38,1,0,0,0,0,0,0,1,6,34,4,10,3,32479,0
101,3,38,0,0,0,0,6,1,0,3,6,34,4,10,2,4110,1
131,3,38,1,0,0,0,0,3,2,0,3,35,0,10,2,2159,0
73,1,36,0,12,0,0,0,1,0,0,2,4,1,33,6,3357,0
19,0,38,0,0,0,0,0,1,2,1,3,34,0,10,2,3184,6
131,1,37,0,0,1,0,2,0,0,0,0,20,1,34,3,2355,4
74,0,36,0,24,1,0,2,1,0,1,1,19,3,2,0,1707,0
74,0,37,0,0,0,1,0,2,0,1,1,5,0,35,6,1013,0
131,1,39,0,0,0,4,0,3,3,0,2,4,4,1,4,5567,0
74,0,39,0,0,0,0,1,2,0,0,1,34,3,19,3,5153,5
130,1,38,1,12,0,3,1,2,0,1,0,34,0,19,3,29922,6
74,1,37,0,0,0,0,6,2,0,1,0,68,4,19,6,340597,0
101,0,38,1,0,2,0,0,2,0,3,2,67,0,10,2,3294,5
101,1,40,0,0,0,0,0,2,3,0,5,5,2,14,3,391886,1
74,0,39,0,12,1,5,0,2,3,0,2,19,0,10,2,6049,0
19,0,40,0,0,0,1,2,1,0,4,5,5,1,10,0,44181,0
73,0,37,1,24,0,0,2,1,0,0,2,5,1,10,3,5130,5
131,0,39,1,12,0,7,0,1,0,0,3,34,4,33,2,5191,0
74,0,39,1,0,14,1,1,0,0,1,4,34,0,6,8,105405,4
19,1,39,0,25,4,2,8,2,2,0,1,5,4,6,3,131053,0
19,1,37,0,25,0,4,0,0,0,0,2,20,5,7,6,180486,0
131,3,38,0,0,0,4,1,1,0,0,2,35,3,33,3,4126,0
19,1,37,0,0,0,0,0,0,0,0,0,35,3,10,3,1872,0
100,0,39,0,24,0,0,1,1,0,1,5,5,1,10,2,4211,0
131,3,37,0,12,0,2,0,3,0,0,0,5,0,33,2,2983,0
131,1,37,0,0,0,0,0,0,2,0,3,19,3,10,2,2640,0
