id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,action,action_type,action_detail,device_type,secs_elapsed,country_destination
107,0,61,1,0,2,4,6,0,3,5,0,7,3,20,3,41990,5
108,3,34,0,24,2,0,0,2,2,1,6,76,2,2,1,5359,5
107,1,61,0,12,4,7,6,1,1,7,5,37,0,10,5,5625,3
107,3,39,1,25,14,5,1,2,0,2,3,22,0,2,1,228740,7
23,1,79,1,12,5,0,2,2,3,3,5,6,7,10,2,128581,5
107,3,62,0,12,5,5,8,1,1,5,1,76,1,2,6,230734,3
107,1,62,1,24,9,3,2,0,2,6,1,6,7,7,3,1011797,9
108,3,62,1,25,1,3,2,3,1,4,4,7,3,20,1,1023945,0
108,3,39,0,12,0,1,8,2,2,6,5,37,3,36,5,5717,2
23,1,79,0,25,14,5,2,2,0,3,2,75,0,14,6,384638,5
82,3,39,1,24,9,6,8,0,0,0,3,37,6,35,8,129175,4
23,1,30,0,12,2,5,4,1,2,2,0,37,7,2,1,385339,7
135,3,30,0,0,0,2,6,1,3,3,6,7,2,14,7,1034636,5
108,0,61,1,12,2,2,2,2,2,7,1,38,4,35,4,1022365,6
82,0,34,0,24,1,2,5,1,0,2,4,37,3,14,1,5185,5
23,3,30,1,25,14,5,5,3,3,5,1,37,5,35,4,230773,2
135,3,30,0,25,14,4,0,3,0,4,3,65,6,10,6,42226,5
107,1,61,0,12,9,6,1,1,0,4,1,77,4,14,8,368904,3
23,0,34,0,12,1,3,5,0,3,2,5,6,2,19,4,229654,0
82,3,62,1,0,9,7,1,3,2,5,3,6,6,35,6,5619,1
82,0,30,1,25,0,2,8,0,2,3,5,22,2,14,8,5618,4
135,3,34,0,12,1,0,8,3,2,6,6,22,6,2,0,386091,3
108,1,79,0,24,1,6,8,0,1,4,10,78,7,14,7,382570,5
23,3,62,0,0,0,1,1,2,1,3,10,37,0,20,8,376039,1
107,3,39,0,0,9,6,5,2,3,3,4,21,1,7,0,42639,9
107,0,30,0,25,2,6,0,0,3,3,2,37,2,2,1,5842,6
107,1,34,0,25,14,6,6,0,1,0,2,37,5,2,8,5473,0
23,3,79,1,25,9,7,1,0,1,3,2,6,3,14,1,126535,5
107,0,61,1,25,5,1,6,2,1,2,0,38,3,10,3,230856,2
82,1,30,1,24,9,2,2,2,2,4,2,37,6,14,7,225061,4
82,3,39,0,25,14,3,5,1,2,5,5,63,4,20,5,41940,6
135,1,62,1,12,2,3,5,0,3,5,10,21,0,2,3,226774,9
23,3,79,0,24,0,0,5,0,0,3,0,6,3,2,3,376815,1
82,1,34,0,24,9,6,1,3,1,2,5,6,4,2,5,5453,6
23,1,30,0,25,2,7,1,2,0,1,3,76,6,10,7,230392,9
82,3,34,1,25,5,3,5,0,2,3,5,65,7,14,4,385211,5
135,3,79,1,12,14,5,5,2,3,3,0,21,6,7,3,125113,2
82,1,34,1,24,4,1,4,1,2,5,1,76,6,2,8,41843,6
135,3,35,1,12,1,4,1,2,3,5,2,76,4,2,5,5893,2
107,0,62,1,25,0,1,0,1,2,2,10,64,3,14,8,380847,7
135,1,34,0,25,1,3,5,3,1,3,2,21,6,7,5,386415,6
107,3,78,1,0,14,4,6,3,0,6,1,75,2,35,4,232230,1
135,0,39,1,0,9,0,5,0,0,3,10,37,2,14,1,224608,0
135,1,39,0,0,2,5,4,1,2,5,0,75,5,20,4,231488,3
107,3,39,1,25,4,2,4,2,0,1,5,6,0,35,5,225620,9
82,1,79,0,24,5,5,0,0,1,0,6,22,2,35,5,229592,1
23,1,30,0,25,5,1,0,2,0,4,4,76,7,10,1,5623,9
135,1,62,0,25,9,6,8,1,0,5,5,38,0,35,4,42367,5
135,1,34,1,25,1,4,8,2,3,3,10,64,3,7,8,379269,1
23,3,34,1,25,1,1,0,2,3,4,4,77,6,36,2,41383,7
82,0,30,1,24,1,3,5,2,3,1,2,21,7,10,0,5707,3
135,1,79,0,12,0,2,1,1,3,3,3,22,1,35,3,999473,0
135,1,79,0,25,14,0,5,1,3,7,0,37,1,2,0,127296,7
82,0,79,0,12,5,7,5,2,3,1,2,63,6,7,6,230291,7
135,0,39,1,25,4,6,4,3,1,0,10,6,5,10,6,5708,7
107,0,61,0,24,2,0,8,2,1,5,2,75,3,14,7,5668,3
