id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action,action_type,action_detail,device_type,secs_elapsed
11,3,27,1,12,0,0,2,0,2,2,3,3,9,4,10,0,94055
116,3,37,0,24,0,0,0,0,1,0,1,0,5,4,10,6,4394
129,3,21,0,25,0,0,0,0,0,2,1,0,63,4,10,6,6491
19,3,27,0,25,0,0,0,0,1,0,1,0,0,4,10,6,0
107,1,54,0,0,0,0,0,1,0,3,0,0,0,3,7,3,17158
56,1,27,1,12,0,4,2,0,1,4,6,0,1,4,11,4,0
73,1,32,1,0,0,4,2,0,1,2,3,0,7,4,11,1,0
85,3,44,1,0,0,0,0,2,1,7,3,6,2,4,10,0,257670
119,1,26,1,25,0,0,0,0,0,0,6,0,34,4,10,2,25295
80,1,34,0,0,9,0,1,2,0,3,2,0,0,0,7,1,7145
91,1,60,1,0,0,1,1,2,0,1,0,0,4,0,5,3,8753
77,0,29,1,0,0,3,1,0,0,0,3,1,3,4,6,3,2051
86,0,33,0,0,1,0,0,1,0,0,2,0,33,4,10,2,0
106,0,27,0,0,0,3,1,2,0,1,4,0,4,6,42,3,12766
66,3,25,0,12,0,0,0,0,2,2,3,0,12,4,10,6,0
0,1,30,0,0,0,0,0,1,0,0,1,2,6,0,36,2,0
113,0,30,0,0,0,0,0,1,0,0,0,0,3,0,22,7,0
23,1,37,0,0,9,0,1,2,0,3,2,2,1,1,6,3,22001
86,1,31,0,0,0,2,0,3,0,1,0,0,9,0,7,3,5808
93,0,40,1,0,1,0,1,2,0,3,0,2,0,0,6,3,0
45,1,26,0,0,0,0,0,1,0,0,0,0,38,3,31,2,12173
73,3,31,0,0,2,1,0,0,0,7,1,0,4,1,10,3,2076
5,3,25,1,24,1,0,6,0,1,5,0,0,3,4,10,2,0
6,1,27,0,0,0,0,0,0,0,0,2,0,0,2,10,2,0
86,3,33,0,0,0,0,0,1,0,0,1,4,8,0,4,2,562740
17,3,47,0,12,0,0,2,0,1,0,6,0,39,4,11,6,0
69,1,28,0,0,0,3,0,2,0,1,0,1,0,3,8,1,251910
64,1,34,0,0,9,0,5,0,0,0,1,0,1,4,10,2,0
132,1,36,0,0,0,0,0,2,0,1,2,0,0,1,5,2,4095
119,0,37,0,25,0,5,8,1,0,0,3,0,1,4,11,0,42921
88,0,22,1,0,0,2,0,2,0,1,1,0,34,3,4,3,0
57,0,20,0,0,0,2,0,0,0,1,3,0,5,4,10,3,27455
59,0,29,1,0,0,0,1,2,0,1,2,0,5,1,10,2,11242
115,1,43,1,0,0,0,0,0,1,2,3,0,1,4,10,0,10697
54,0,59,0,0,0,0,0,0,0,0,1,2,18,4,0,2,0
70,1,38,0,0,0,1,1,2,0,1,4,0,0,1,9,3,3923
50,3,24,0,0,0,0,0,3,0,0,1,0,0,4,10,8,335
0,3,30,1,12,0,4,2,0,3,4,5,0,1,4,10,4,0
110,3,28,0,0,0,0,0,0,0,0,1,0,21,0,35,2,648949
81,1,49,0,0,0,0,0,1,0,0,1,0,0,0,5,2,35698
101,0,45,0,24,0,4,2,0,1,3,6,0,0,4,10,2,2218
85,1,24,1,0,0,0,0,1,0,1,1,0,26,2,7,3,315332
23,1,26,1,0,0,0,0,1,0,0,0,0,26,2,31,2,6197
0,3,30,0,24,0,0,0,0,0,0,1,0,1,4,1,7,0
42,0,21,0,0,0,0,0,0,0,1,0,0,6,2,10,6,2356
141,0,32,0,0,0,2,0,2,0,0,1,0,1,0,10,2,3824
31,1,23,1,0,0,0,2,0,1,2,3,1,6,4,10,4,13659
129,0,21,0,24,0,0,2,0,2,2,6,0,0,4,10,6,0
78,3,27,1,0,4,0,0,1,0,2,3,0,0,1,25,2,22282
111,3,29,0,0,0,6,0,0,0,1,0,0,52,3,0,3,48320
149,1,29,1,0,0,2,0,2,0,0,3,0,0,0,10,2,0
50,0,41,1,0,0,0,1,0,0,3,0,5,42,5,31,3,0
45,1,52,0,0,0,1,1,3,0,0,2,0,5,0,5,2,0
59,0,40,1,0,0,6,1,3,0,0,0,0,9,4,10,1,0
123,3,48,0,25,0,4,0,0,1,5,6,1,34,4,10,6,11639
147,1,53,0,0,0,0,0,1,0,0,1,0,7,0,47,2,88140
