id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action,action_type,action_detail,device_type,secs_elapsed
69,1,30,0,0,0,0,0,0,0,1,4,0,6,3,5,3,0
122,1,35,0,0,0,0,0,0,0,0,1,0,10,0,19,2,12060
122,1,41,1,0,0,0,0,1,0,0,1,2,66,4,10,2,19304
116,3,31,0,0,0,0,0,0,0,0,0,0,8,0,27,3,12115
122,1,35,0,0,0,0,0,0,0,1,4,1,7,4,10,3,0
113,1,26,1,0,0,0,0,2,0,0,1,0,12,0,11,2,10642
93,1,31,1,0,0,1,1,2,0,0,0,0,21,0,13,2,6942
82,3,32,0,0,0,0,0,1,0,0,1,0,54,4,10,2,11311
46,0,39,1,0,0,3,1,2,0,1,4,0,49,4,10,3,10121
18,1,30,0,0,0,0,0,0,0,1,0,1,6,0,10,3,6647
99,0,27,1,0,0,0,0,3,0,0,0,0,26,4,10,2,0
21,1,57,0,0,0,1,1,0,0,0,1,0,2,1,0,2,0
138,0,29,1,0,0,0,0,0,0,1,4,0,2,0,0,3,0
133,1,32,0,0,0,0,0,1,0,1,2,2,1,1,1,2,1869
72,1,38,0,0,0,1,1,2,0,0,0,1,18,4,10,2,0
53,3,37,0,0,0,1,1,2,0,0,2,0,2,4,10,2,5103
29,1,28,0,0,0,1,1,2,0,3,2,0,8,4,10,2,0
66,0,32,0,0,0,1,1,2,0,0,0,0,6,1,6,2,7548
4,3,22,0,0,0,1,1,2,0,1,3,0,1,1,0,3,8559
128,0,28,0,0,0,0,0,0,0,0,0,0,8,4,10,2,0
60,1,43,0,0,0,0,0,0,0,1,2,2,0,0,0,3,5295
116,0,29,1,0,0,1,1,2,0,1,0,0,3,1,6,3,8282
121,0,30,0,0,0,1,1,2,0,2,3,0,69,0,30,2,23492
19,1,40,0,0,0,0,0,0,0,1,2,1,10,0,10,3,5551
67,1,26,0,0,0,1,1,2,0,1,0,1,6,3,6,3,1254
98,3,37,0,0,0,0,0,0,0,0,1,0,4,3,8,2,2664
79,0,25,0,0,0,0,0,0,0,0,0,0,7,0,18,2,3050
115,3,36,0,0,0,0,0,1,0,0,1,0,3,0,3,2,0
70,1,80,0,0,0,2,1,2,0,1,0,0,1,1,5,3,0
28,0,76,0,0,0,2,1,2,0,1,4,0,4,0,14,3,34457
15,1,31,0,0,0,0,0,0,0,1,0,1,16,4,10,3,8601
114,1,28,1,0,0,0,0,0,1,0,1,0,9,0,5,2,0
9,0,27,0,0,0,1,1,2,0,0,0,0,7,0,10,2,3114
67,1,41,0,0,0,0,0,1,0,0,1,0,22,0,18,2,5134
85,3,23,0,0,0,0,0,0,0,0,3,0,4,3,7,1,9219
30,1,26,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0
149,1,28,0,25,0,0,0,0,1,0,0,0,16,4,14,0,10450
93,0,23,0,0,0,1,1,2,0,0,0,0,8,3,4,2,0
129,0,33,1,0,0,0,0,1,0,1,4,0,68,4,10,3,35670
58,3,36,0,0,0,0,0,0,0,0,2,0,36,0,16,3,3374
12,1,35,0,0,0,0,0,1,0,0,2,0,64,4,10,2,0
3,0,69,0,0,0,2,1,2,0,1,0,0,7,0,7,3,2565
139,3,34,0,0,0,0,0,1,0,0,2,0,8,0,18,2,0
40,1,30,0,0,0,0,0,0,0,1,2,0,14,4,10,3,0
48,1,43,0,0,0,1,1,2,0,0,2,1,39,4,10,6,0
77,1,31,1,0,0,0,0,0,0,1,4,0,18,2,15,3,0
55,1,40,0,0,0,3,1,0,0,1,0,0,2,3,3,3,0
32,1,41,0,0,0,3,8,1,0,0,0,0,29,0,19,2,2749
17,0,31,1,0,0,0,0,0,0,1,3,0,7,4,10,3,366
60,3,29,0,0,0,0,0,0,0,0,2,0,48,4,35,2,0
7,0,25,1,0,0,1,1,2,0,3,3,0,21,0,13,1,2031
140,1,50,0,0,0,0,0,1,0,0,1,0,1,1,7,2,1668
103,0,24,1,0,0,0,0,3,0,0,1,0,1,1,4,2,1341
15,0,24,0,0,0,1,1,2,0,1,0,0,8,1,4,3,0
137,1,28,0,0,0,0,0,0,0,1,0,1,4,0,20,3,1269
84,1,23,1,12,0,4,2,2,2,0,1,0,69,4,10,6,0
126,1,27,1,0,0,7,0,2,0,0,1,0,30,4,10,2,822
14,1,23,0,0,0,0,0,1,0,0,1,0,57,4,10,2,13574
92,1,63,0,0,0,1,1,2,0,0,2,0,9,0,6,2,4360
115,1,36,0,0,0,1,1,2,0,0,2,0,7,4,10,2,54823
56,0,30,0,0,0,1,1,2,0,0,0,0,69,4,10,2,0
61,1,42,0,0,0,0,0,1,0,0,2,0,25,4,10,2,23691
38,0,43,0,0,0,1,1,0,0,1,2,0,10,2,13,2,0
85,1,42,1,0,0,0,0,1,0,0,1,2,29,4,10,2,6212
107,1,24,1,0,0,3,1,3,0,0,0,0,3,1,0,2,0
23,1,63,0,0,0,0,0,0,0,1,2,2,64,4,10,6,27948
40,0,67,0,0,0,1,1,2,0,1,2,1,68,4,10,6,2038
108,0,26,0,0,0,1,1,2,0,0,2,0,58,0,10,2,12654
65,3,34,0,0,0,0,0,0,0,0,2,0,9,3,9,2,1416
137,1,31,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
118,0,26,0,0,0,0,0,1,0,0,1,0,6,3,7,2,5797
77,0,22,0,0,0,0,0,0,0,0,2,0,58,7,37,2,36799
64,0,68,0,0,0,2,4,2,0,1,0,1,8,0,7,3,0
106,1,25,1,25,0,0,0,0,1,2,1,0,60,4,10,2,4731
55,0,30,0,0,0,1,1,2,0,1,0,0,67,4,10,3,33447
76,1,64,0,0,0,2,1,2,0,1,0,0,8,3,2,3,0
103,1,41,0,12,0,1,1,2,3,4,2,1,6,4,10,4,1576
31,0,22,1,0,0,1,2,1,0,1,0,0,7,4,10,3,0
103,0,26,1,0,0,1,1,2,0,1,0,0,63,4,10,3,8823
40,0,67,0,0,0,2,1,2,0,1,0,0,5,1,5,3,0
68,0,84,1,0,0,0,0,1,0,1,4,5,31,0,22,3,64670
99,0,23,0,0,0,0,0,1,0,0,1,9,4,1,5,2,0
5,1,59,0,0,0,1,1,0,0,0,1,0,16,0,22,2,6983
146,0,29,1,0,0,7,1,1,0,1,0,0,2,1,4,3,5158
117,0,31,0,0,0,0,0,0,0,1,0,1,1,1,1,3,2067
59,0,28,0,0,0,0,0,1,0,1,0,0,38,0,7,3,3215
69,0,32,1,0,0,0,0,2,0,1,0,0,7,1,5,3,0
119,1,46,0,0,0,0,0,1,0,0,1,0,5,0,5,2,0
6,1,31,0,25,0,0,0,0,1,5,6,0,10,4,10,6,0
65,0,27,0,0,0,1,1,2,0,0,0,0,6,3,6,2,3138
134,1,32,0,0,0,0,0,0,0,0,0,0,20,0,20,2,2592
38,0,53,0,0,0,0,0,1,0,0,1,0,29,3,5,2,1951
122,3,32,0,0,0,0,0,0,0,0,1,0,17,4,10,2,0
63,3,49,0,0,0,0,0,0,0,0,1,0,7,4,10,2,1767
128,1,31,0,0,0,0,0,0,0,1,0,1,17,2,2,3,0
131,0,23,1,0,0,3,5,3,0,0,0,0,2,1,4,2,0
114,3,37,0,0,0,0,0,0,0,0,1,0,78,2,32,2,0
135,0,25,0,0,0,0,0,1,0,0,0,0,45,0,10,2,540
18,1,58,0,0,0,0,0,1,0,0,1,0,24,4,10,2,5383
63,1,41,1,0,0,0,0,0,0,1,4,1,13,0,12,3,1362
25,3,52,0,0,0,1,1,2,0,3,3,0,5,0,4,1,2013
76,1,24,0,0,0,1,1,2,0,0,0,0,23,0,19,2,3044
60,0,29,0,0,0,0,0,0,0,1,2,0,61,4,10,3,39435
13,1,35,1,12,0,4,2,0,2,2,6,0,7,4,10,6,0
14,1,25,1,0,0,0,0,1,0,0,1,0,43,4,10,2,32953
82,1,35,0,0,0,0,0,0,0,1,4,0,19,0,15,3,0
110,0,26,0,0,0,0,0,0,0,1,0,0,5,3,5,3,5255
140,0,33,1,0,0,0,0,1,0,1,0,0,11,3,8,3,1635
11,1,37,0,0,0,0,0,1,0,0,0,0,37,4,10,2,9187
146,0,34,1,0,5,0,0,0,0,1,4,0,42,0,40,3,4661
98,1,32,0,0,0,1,1,2,0,0,1,0,9,0,5,2,0
58,0,27,0,0,0,2,1,2,0,1,0,0,68,4,10,3,33909
44,0,26,0,0,0,1,1,2,0,1,3,0,7,3,7,3,846
45,0,30,0,0,0,0,0,1,0,1,0,0,0,1,0,0,914
52,0,88,0,0,0,0,0,1,0,1,4,2,1,1,5,3,3724
96,3,38,0,0,4,1,1,2,0,1,2,0,6,0,5,3,0
68,1,75,0,0,0,2,1,2,0,1,0,0,4,1,5,3,626
106,1,41,0,0,0,0,0,0,0,1,4,1,22,0,10,3,0
24,0,63,0,0,0,2,1,2,0,1,0,0,3,1,3,3,3091
66,1,36,0,0,0,2,1,2,0,0,2,0,3,1,0,2,0
133,1,32,0,0,0,0,0,1,0,0,2,0,29,2,15,2,9821
82,1,27,1,12,0,4,2,0,3,4,5,1,15,4,13,4,7263
43,0,69,0,0,0,2,1,2,0,1,4,0,20,2,12,3,0
11,1,33,0,0,0,1,1,2,0,0,1,0,20,4,10,2,26687
149,0,30,0,0,0,0,0,0,0,0,0,0,14,2,13,2,0
73,0,22,0,0,0,3,5,0,0,0,1,0,17,0,17,2,0
67,0,31,1,0,0,0,0,0,0,1,4,1,2,1,7,3,9636
