id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action,action_type,action_detail,device_type,secs_elapsed
122.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,61.0,4.0,10.0,2.0,71865.0
121.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,28.0,0.0,19.0,2.0,713.0
102.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,2.0,2403.0
111.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,101.0
28.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,19.0,2.0,174885.0
11.0,0.0,54.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,3.0,1454.0
23.0,3.0,54.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,14.0,2.0,1151.0
84.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,44.0,0.0,22.0,3.0,6461.0
94.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,4.0,10.0,2.0,53358.0
121.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,5.0,2.0,902.0
47.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,34.0,4.0,10.0,6.0,16397.0
14.0,0.0,34.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,3.0,42.0,4.0,10.0,6.0,101.0
121.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,73.0,2.0,36.0,2.0,49417.0
16.0,3.0,27.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,7.0,4.0,10.0,4.0,422.0
93.0,3.0,38.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,35.0,4.0,10.0,2.0,68150.0
89.0,1.0,24.0,1.0,12.0,0.0,4.0,2.0,0.0,2.0,2.0,6.0,0.0,7.0,4.0,10.0,6.0,1243.0
47.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,58.0,3.0,32.0,3.0,28641.0
66.0,0.0,59.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,7.0,3.0,20799.0
126.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,8.0,2.0,929.0
139.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,39.0,3.0,6.0,3.0,2264.0
24.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,48099.0
67.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,2.0,39.0,3.0,234450.0
76.0,1.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,2.0,29029.0
103.0,1.0,43.0,0.0,12.0,0.0,4.0,2.0,0.0,3.0,4.0,5.0,1.0,7.0,4.0,10.0,4.0,530.0
108.0,3.0,31.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,39.0,3.0,6.0,2.0,807.0
130.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,2.0,32338.0
84.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,77.0,7.0,40.0,3.0,19440.0
86.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,28.0,2.0,35.0,2.0,354.0
115.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,4.0,10.0,3.0,1131.0
113.0,0.0,24.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,705.0
24.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,2.0,349654.0
142.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,61.0,4.0,10.0,2.0,41677.0
77.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,10.0,2.0,1343.0
101.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,18.0,2.0,15096.0
74.0,1.0,50.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,4.0,10.0,2.0,111735.0
32.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,39.0,3.0,6.0,3.0,142309.0
70.0,0.0,27.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,10.0,6.0,421.0
36.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,2.0,39.0,2.0,8184.0
3.0,1.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,5.0,13.0,2.0,10661.0
119.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,19.0,2.0,4196.0
51.0,0.0,22.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,172.0
4.0,0.0,35.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,3.0,1694.0
111.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,15.0,2.0,5892.0
109.0,1.0,25.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,55.0,4.0,10.0,3.0,25797.0
84.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,4.0,3.0,72.0
111.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,1779.0
86.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,26.0,2.0,32000.0
15.0,0.0,31.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,17.0,0.0,14.0,3.0,2462.0
31.0,1.0,38.0,0.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,55.0,4.0,10.0,2.0,18.0
146.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,22.0,2.0,1483512.0
146.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,22.0,2.0,1483512.0
47.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,40.0,4.0,10.0,6.0,198.0
102.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,19.0,2.0,883.0
5.0,1.0,60.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1385.0
93.0,3.0,38.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,35.0,4.0,10.0,2.0,68150.0
113.0,0.0,24.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,55.0,4.0,10.0,3.0,501.0
34.0,3.0,42.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,24.0,4.0,10.0,3.0,2325.0
142.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,2.0,39.0
103.0,1.0,43.0,0.0,12.0,0.0,4.0,2.0,0.0,3.0,4.0,5.0,1.0,31.0,4.0,10.0,4.0,30.0
74.0,1.0,50.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,10.0,2.0,1533.0
20.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,1.0,5.0,1.0,82.0
122.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,15.0,4.0,10.0,2.0,3215.0
65.0,0.0,41.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,39.0,3.0,6.0,2.0,2211.0
17.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,35.0,4.0,10.0,1.0,13041.0
30.0,3.0,26.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,28.0,0.0,19.0,1.0,50980.0
73.0,1.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,19.0,4.0,10.0,3.0,28875.0
111.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,4.0,10.0,2.0,812.0
121.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,28.0,0.0,19.0,2.0,8980.0
100.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,10.0,2.0,34439.0
102.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,12.0,2.0,31150.0
47.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1120856.0
92.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,4734.0
147.0,1.0,39.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,658.0
100.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,10.0,2.0,68090.0
91.0,1.0,32.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,35.0,4.0,10.0,2.0,36893.0
1.0,3.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,2.0,16919.0
87.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,28.0,0.0,19.0,3.0,1854.0
75.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,7.0,0.0,7.0,3.0,2856.0
102.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,10.0,2.0,95.0
7.0,1.0,25.0,1.0,12.0,0.0,4.0,2.0,0.0,3.0,4.0,5.0,1.0,31.0,4.0,10.0,4.0,263.0
65.0,0.0,41.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,39.0,3.0,6.0,2.0,2211.0
